,uuid,teos_volume,ammonia_volume,water_volume,ethanol_volume,dilution_volume_fraction,silica_mass_conc,silica_mass_fraction,ethanol_dilute_vol,sample_dilute_vol,well,dilute_well
0,f9b8246e-8b80-4955-9560-ada457bad27c,51.40415467321873,27.952414751052856,43.54553036391735,1577.097900211811,0.5315023414958107,8.138741191291809,0.010163120834694244,796.0,904.0,A1,C7
1,56faa977-e163-444a-9156-e2fa4f7fe338,20.531058311462402,13.736370578408241,12.09820406511426,1653.634367045015,1.3307364947755826,3.250651062011719,0.004097138461397664,0.0,1700.0,A2,C8
2,da8a1479-69d0-45be-b579-65c7a1dfa21b,19.424943998456,10.564707685261965,11.428265972062945,1658.582082344219,1.4065126042886005,3.075521674537659,0.003878278350403536,0.0,1700.0,A3,D1
3,a20c37f0-5b38-4a7c-bee3-d0d3d116c9e0,19.390934240072966,10.795518383383751,14.617080986499786,1655.1964663900435,1.4089794866596261,3.070136961507797,0.0038695132149948923,0.0,1700.0,A4,D2
4,c0c257a6-ec89-4274-8d2a-38b479f2eece,52.69578453153372,9.986297972500324,45.47329992055893,1591.844617575407,0.5184746524663493,8.343242971324921,0.01042925586452229,819.0,881.0,A5,D3
5,0ec4dd81-7487-4689-96b9-b0f646a2047d,19.50698159635067,26.6072615981102,44.22314800322056,1609.6626088023186,1.400597444380622,3.088510561943054,0.003869809776644407,0.0,1700.0,A6,D4
6,ab43267e-6f46-4c9a-bc6a-ba6240fcb2fb,52.10786424577236,28.13500128686428,45.458031073212624,1574.2991033941507,0.5243244751418732,8.250158451652528,0.010298303550888014,809.0,891.0,A7,D5
7,23709b8a-dfbe-4f00-b9a7-644344ee10e2,25.87360804900527,9.969553537666798,37.54359409213066,1626.6132443211973,1.055957426566913,4.09652879099846,0.005141648715843532,0.0,1700.0,A8,D6
8,74579cb8-62f3-4d9e-8f66-6ca76a8ff53a,29.22111600637436,26.235872693359852,13.323223497718573,1631.2197878025472,0.9349892237335704,4.626534606170655,0.005818815518226538,111.0,1589.0,B1,D7
9,bfcf29cb-db74-40a1-9d27-911985c3f28f,22.154109552502632,9.392499877139926,9.732500091195107,1658.7208904791623,1.2332442658857492,3.5076262826919558,0.004423470202652365,0.0,1700.0,B3,D8
10,defeadd7-5618-448a-bc01-6cf057fbe1ac,35.841285437345505,10.566233936697245,29.596972838044167,1623.995507787913,0.7622893051419549,5.674695907211304,0.007123289287335627,404.0,1296.0,B4,E1
11,81c548b0-7ef9-4ff0-b4e6-8977a3bb8ae4,49.79843366891146,24.267187248915434,34.39897783100605,1591.535401251167,0.5486403197553782,7.884509840488434,0.009864163571208564,767.0,933.0,B5,E3
12,82d46018-8a24-4bb2-92b6-b4626d334344,29.227800481021404,12.390800239518285,32.902912609279156,1625.4784866701812,0.9347753892452255,4.627592948818207,0.005809139602358397,111.0,1589.0,B6,E4
13,ea0d2ca6-8818-45f8-b5e3-04858133284a,49.78606216609478,21.113567054271698,27.61511318385601,1601.4852575957775,0.5487766531982312,7.882551079368591,0.009874587393302565,767.0,933.0,B8,E5
14,a3e0413e-4e1b-4f07-930b-690692b49c03,34.21388976275921,16.00809134542942,35.1210530847311,1614.6569658070803,0.7985478634810803,5.417032839012147,0.006792199255579895,342.0,1358.0,C1,E6
15,12720234-74cc-4a1a-9cdc-cad646138159,37.738947942852974,9.392499877139926,9.732500091195107,1643.136052088812,0.7239584053270547,5.97514990940094,0.007522737914152629,469.0,1231.0,C2,E8
16,86790201-b18a-4f73-907d-61e0d3d0c114,38.23610693216324,14.646380580961704,27.962610870599747,1619.1549016162753,0.7145452495961738,6.0538643318176275,0.007596691098758153,485.0,1215.0,C3,F1
17,8d373b7d-c3a9-4148-8bcd-46021e36cb01,20.613133907318115,27.36947536468506,34.96015705168247,1617.0572336763144,1.3254378831609328,3.2636459655761723,0.004094362636344303,0.0,1700.0,C4,F2
18,be0d7554-70c4-4a1f-a312-eea5e9ae1e45,42.06967372447252,13.507700432091951,38.02093081176281,1606.4016950316727,0.649432861076251,6.6608270989418035,0.008342753743711013,596.0,1104.0,C5,F3
19,6791de91-caa6-4665-b50a-a0fcbadffcab,40.47092217952013,23.56477277353406,38.08594532310963,1597.8783597238362,0.675087868031193,6.407699211978913,0.008020390083877687,552.0,1148.0,C6,F4
